,Preço de abertura,Máximo do dia,Mínimo do dia,Preço de fechamento,Preço de fechamento ajustado,Volume negociado,Data,Ativo,Descrição,Código,Moeda
0,1388.75,1411.5,1386.25,1400.75,1400.75,111854.0,2023-05-15 00:00:00,Soja,Futuros de Soja,ZS=F,USD
1,1400.0,1401.75,1358.75,1364.0,1364.0,149242.0,2023-05-16 00:00:00,Soja,Futuros de Soja,ZS=F,USD
2,1365.0,1365.75,1332.75,1337.0,1337.0,145517.0,2023-05-17 00:00:00,Soja,Futuros de Soja,ZS=F,USD
3,1336.5,1348.0,1323.25,1333.25,1333.25,124325.0,2023-05-18 00:00:00,Soja,Futuros de Soja,ZS=F,USD
4,1333.25,1345.0,1304.75,1307.25,1307.25,135856.0,2023-05-19 00:00:00,Soja,Futuros de Soja,ZS=F,USD
5,1308.25,1344.25,1304.75,1341.25,1341.25,143213.0,2023-05-22 00:00:00,Soja,Futuros de Soja,ZS=F,USD
6,1341.0,1341.25,1315.5,1322.5,1322.5,111359.0,2023-05-23 00:00:00,Soja,Futuros de Soja,ZS=F,USD
7,1322.5,1337.75,1316.0,1324.5,1324.5,95312.0,2023-05-24 00:00:00,Soja,Futuros de Soja,ZS=F,USD
8,1324.25,1333.5,1305.0,1324.0,1324.0,131878.0,2023-05-25 00:00:00,Soja,Futuros de Soja,ZS=F,USD
9,1323.75,1343.5,1322.0,1337.25,1337.25,104197.0,2023-05-26 00:00:00,Soja,Futuros de Soja,ZS=F,USD
10,1337.25,1337.25,1294.25,1296.5,1296.5,128256.0,2023-05-30 00:00:00,Soja,Futuros de Soja,ZS=F,USD
11,1298.0,1302.75,1270.75,1299.75,1299.75,137386.0,2023-05-31 00:00:00,Soja,Futuros de Soja,ZS=F,USD
12,1299.75,1335.25,1299.25,1329.5,1329.5,132076.0,2023-06-01 00:00:00,Soja,Futuros de Soja,ZS=F,USD
13,1329.0,1355.25,1322.0,1352.5,1352.5,120303.0,2023-06-02 00:00:00,Soja,Futuros de Soja,ZS=F,USD
14,1353.25,1361.5,1343.5,1350.0,1350.0,98182.0,2023-06-05 00:00:00,Soja,Futuros de Soja,ZS=F,USD
15,1352.0,1364.0,1340.25,1353.25,1353.25,129813.0,2023-06-06 00:00:00,Soja,Futuros de Soja,ZS=F,USD
16,1353.25,1370.75,1350.0,1360.75,1360.75,143477.0,2023-06-07 00:00:00,Soja,Futuros de Soja,ZS=F,USD
17,1358.0,1371.75,1352.0,1363.25,1363.25,152587.0,2023-06-08 00:00:00,Soja,Futuros de Soja,ZS=F,USD
18,1360.5,1388.0,1356.25,1386.5,1386.5,142158.0,2023-06-09 00:00:00,Soja,Futuros de Soja,ZS=F,USD
19,1390.0,1392.75,1368.5,1372.75,1372.75,122300.0,2023-06-12 00:00:00,Soja,Futuros de Soja,ZS=F,USD
20,1373.25,1415.5,1371.75,1399.25,1399.25,161567.0,2023-06-13 00:00:00,Soja,Futuros de Soja,ZS=F,USD
21,1398.75,1399.0,1380.0,1388.25,1388.25,124157.0,2023-06-14 00:00:00,Soja,Futuros de Soja,ZS=F,USD
22,1389.75,1432.0,1387.5,1428.25,1428.25,144129.0,2023-06-15 00:00:00,Soja,Futuros de Soja,ZS=F,USD
23,1426.0,1468.25,1426.0,1466.5,1466.5,158732.0,2023-06-16 00:00:00,Soja,Futuros de Soja,ZS=F,USD
